iter	Passed	Remaining
0	0	41
1	0	38
2	1	35
3	1	32
4	1	32
5	2	33
6	2	33
7	3	34
8	3	35
9	3	34
10	4	34
11	4	33
12	4	33
13	5	32
14	5	32
15	6	31
16	6	31
17	6	30
18	7	30
19	7	30
20	7	29
21	8	31
22	9	31
23	10	32
24	10	32
25	11	31
26	11	31
27	12	31
28	12	30
29	13	30
30	13	30
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	20
53	23	19
54	23	19
55	24	18
56	24	18
57	24	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	29	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	33	11
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	35	7
82	36	7
83	36	6
84	37	6
85	37	6
86	38	5
87	38	5
88	38	4
89	39	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
